POLY_ID,AREAKEY,MEDHVAL,PCTBACHMOR,MEDHHINC,PCTVACANT,PCTSINGLES,NBELPOV100
1,4.2101E+11,225000,64.4737,49107,13.2075,11.3208,0
2,4.2101E+11,181900,78.7805,46304,0,0,25
3,4.2101E+11,225000,45,26875,0,42.8571,14
4,4.2101E+11,113600,64.3564,49375,7.75,0,70
5,4.2101E+11,126200,13.069,9432,9.7387,0,473
6,4.2101E+11,55000,32.6087,2499,0,0,113
7,4.2101E+11,194400,63.5319,47143,12.9228,3.3825,139
8,4.2101E+11,43800,43.7323,31981,9.2357,0,356
9,4.2101E+11,45000,38.3754,11923,8.6165,0,310
10,4.2101E+11,450000,27.0655,10515,24.3671,0,261
11,4.2101E+11,225000,71.5566,41563,16.7732,0,176
12,4.2101E+11,225000,61.8785,45556,17.8161,6.3218,10
13,4.2101E+11,58300,58.6667,33550,6.8293,0,287
14,4.2101E+11,153700,81.0284,30511,6.6358,3.3951,157
15,4.2101E+11,120900,75.2469,44890,5.419,0,229
16,4.2101E+11,394400,86.6038,37765,10.3448,1.6799,328
17,4.2101E+11,233300,73.671,47346,8.874,0.8203,198
18,4.2101E+11,258500,84.4459,35682,5.3435,0.6246,288
19,4.2101E+11,328900,70.3463,34904,0,5.7851,63
20,4.2101E+11,318800,92.987,60385,7.5284,1.2784,112
21,4.2101E+11,295300,42.7329,14932,0,0,268
22,4.2101E+11,139300,77.7457,19129,11.0254,0.882,472
23,4.2101E+11,164100,69.2308,25729,12.8319,0.9956,282
24,4.2101E+11,162500,54.1056,20717,0,0,413
25,4.2101E+11,293200,58.481,117991,11.8081,2.214,0
26,4.2101E+11,215100,75.043,52070,0.3641,1.9417,97
27,4.2101E+11,185200,74.5604,64013,4.8872,0.5263,139
28,4.2101E+11,313500,78.6805,87819,9.2798,2.1468,134
29,4.2101E+11,265000,88.1356,41133,9.2643,3.2698,67
30,4.2101E+11,200000,76.3092,68333,3.7453,0,21
31,4.2101E+11,155800,46.9136,21771,4.1284,2.7523,280
32,4.2101E+11,109700,59.8198,33182,8.8421,2.1053,173
33,4.2101E+11,164400,63.7097,37578,0,6.326,121
34,4.2101E+11,211300,60.8059,38382,12.5954,0,24
35,4.2101E+11,239200,58.0524,43654,0,0,125
36,4.2101E+11,162500,70.767,35714,7.4664,0,268
37,4.2101E+11,144600,50.2381,31216,6.9364,6.0694,96
38,4.2101E+11,189000,87.2642,35882,6.5156,5.3824,195
39,4.2101E+11,229200,69.1235,40489,5.7906,0,70
40,4.2101E+11,264000,78.629,46964,4.8443,3.9792,109
41,4.2101E+11,258700,74.8993,53947,4.7525,8.1188,56
42,4.2101E+11,250500,80.776,74010,2.3438,5.2083,50
43,4.2101E+11,504200,73.4778,51858,3.9841,2.2576,138
44,4.2101E+11,444600,84.2805,39778,16.8208,0.578,215
45,4.2101E+11,89400,41.0169,32955,9.9526,6.1611,149
46,4.2101E+11,67100,20.4188,28750,17.5403,9.6774,313
47,4.2101E+11,40700,7.4163,21492,12.8378,4.7297,175
48,4.2101E+11,49000,7.5209,14038,10.6122,13.8776,232
49,4.2101E+11,45000,0,21413,23.913,14.1304,0
50,4.2101E+11,53500,14.4231,22857,15.9722,11.8056,75
51,4.2101E+11,132100,43.6214,26394,11.5385,4.3956,91
52,4.2101E+11,84400,14.3137,31563,17.3171,1.9512,106
53,4.2101E+11,59100,6.6,10346,20.3593,0,318
54,4.2101E+11,89200,10.6838,65272,20.2532,0,94
55,4.2101E+11,98000,56.9721,45250,7.8512,4.5455,98
56,4.2101E+11,66200,31.3433,29375,15.812,12.3932,81
57,4.2101E+11,83000,44.2561,31722,13.278,4.5643,119
58,4.2101E+11,111500,36.1765,27418,13.4565,2.6385,53
59,4.2101E+11,107400,42.9967,20250,18.1452,4.4355,128
60,4.2101E+11,162500,56.8075,50260,11.4688,4.829,66
61,4.2101E+11,203900,73.7401,40625,3.9216,1.3072,35
62,4.2101E+11,128400,35.2332,34050,7.8652,11.236,85
63,4.2101E+11,47500,17.0732,19519,23.5,3.5,108
64,4.2101E+11,225000,70.1456,50781,3.9604,2.3102,22
65,4.2101E+11,170800,67.3575,51705,7.0724,5.4276,158
66,4.2101E+11,160000,35.8543,44911,20.8696,4.3478,47
67,4.2101E+11,150000,65.3422,61250,0,2.6217,56
68,4.2101E+11,187000,67.4183,49643,5.891,5.3019,157
69,4.2101E+11,157200,59.0634,45000,13.0178,0,109
70,4.2101E+11,118000,41.4051,40855,0,0,94
71,4.2101E+11,93400,45.4082,39784,10.9272,2.649,114
72,4.2101E+11,89600,46.4037,36250,10.1818,2.9091,44
73,4.2101E+11,59200,31.6583,23289,8.6667,10.6667,16
74,4.2101E+11,28600,19.0476,30833,20.155,10.0775,48
75,4.2101E+11,225000,7.2464,22109,33.0357,16.9643,71
76,4.2101E+11,33200,3.1546,16696,20.8178,12.2677,173
77,4.2101E+11,45000,13.4715,25777,18.6667,12.6667,83
78,4.2101E+11,45400,6.7485,25179,24.8227,8.5106,98
79,4.2101E+11,62900,7.3718,21550,16.7224,6.3545,224
80,4.2101E+11,52400,19.4748,31467,28.1395,3.7209,222
81,4.2101E+11,29700,8.4034,21083,14.1935,12.9032,65
82,4.2101E+11,23900,0,24750,12.3077,0,45
83,4.2101E+11,25300,4.0541,17429,23.7354,21.0117,309
84,4.2101E+11,25500,2.1368,22115,13.6905,0,197
85,4.2101E+11,21900,0,17386,22.0183,5.0459,177
86,4.2101E+11,33100,10.8108,28017,20.8333,5.2083,68
87,4.2101E+11,22800,6.9106,19375,26.9076,3.6145,216
88,4.2101E+11,25200,10.8808,14922,22.0217,11.5523,168
89,4.2101E+11,41400,3.4483,27857,11.2903,0,59
90,4.2101E+11,29000,1.8561,21121,25.6098,0.9146,179
91,4.2101E+11,47100,25.0489,40778,13.4518,0,149
92,4.2101E+11,60000,10,16528,27.0903,0,156
93,4.2101E+11,18700,5.6452,22132,34.7656,2.7344,153
94,4.2101E+11,22800,15.2174,31250,19.5556,8.4444,136
95,4.2101E+11,69900,12.3746,29412,16.2791,9.7674,7
96,4.2101E+11,60000,28.2828,31731,5.1282,5.1282,127
97,4.2101E+11,48200,18.1395,26167,14.1509,5.6604,214
98,4.2101E+11,77200,39.946,37431,12.8514,6.6265,200
99,4.2101E+11,83500,42.2259,37500,6.6176,3.4314,44
100,4.2101E+11,73600,35.873,43214,21.2245,10.6122,41
101,4.2101E+11,62100,13.6207,28269,4.1534,9.2652,212
102,4.2101E+11,73800,27.9915,33750,4.7619,10.4167,166
103,4.2101E+11,63600,19.4836,33021,9.7744,17.2932,21
104,4.2101E+11,60900,16.5217,21420,33.125,0,120
105,4.2101E+11,52100,20.3636,26000,32.1168,11.6788,127
106,4.2101E+11,89400,33.4218,42098,17.5549,0,31
107,4.2101E+11,91000,37.8261,59107,10.8571,16.5714,11
108,4.2101E+11,90200,31.2775,42969,0,10.274,94
109,4.2101E+11,50800,15.3101,27794,15.4494,3.6517,207
110,4.2101E+11,76300,18.2979,29028,17.4847,13.4969,280
111,4.2101E+11,73500,23.2117,16277,22.292,6.4364,412
112,4.2101E+11,75000,5.1887,45433,0,4.7619,36
113,4.2101E+11,53000,10.9792,35000,12.6609,5.1502,216
114,4.2101E+11,64100,17.5559,14821,9.5477,8.5427,183
115,4.2101E+11,32800,7.1082,28365,27.6803,3.3138,462
116,4.2101E+11,40900,7.8176,22308,20.0861,3.1564,736
117,4.2101E+11,41000,8.8415,12319,14.6288,0,563
118,4.2101E+11,52200,18.6589,25625,12.9098,0,121
119,4.2101E+11,63100,32.613,49444,5.8496,2.2284,133
120,4.2101E+11,49300,13.7155,19467,8.7894,3.4826,567
121,4.2101E+11,40700,12.1658,28583,20.813,5.6911,469
122,4.2101E+11,37000,10.5053,16310,15.5819,12.6233,529
123,4.2101E+11,44700,1.5221,16027,9.8522,10.5911,203
124,4.2101E+11,64400,8.6902,28352,9.3361,2.0747,282
125,4.2101E+11,61500,10.3586,24875,9.2157,7.2549,146
126,4.2101E+11,53800,7.3418,20167,8.7452,8.7452,397
127,4.2101E+11,48900,3.8737,23656,7.6923,12.8205,240
128,4.2101E+11,53300,14.7727,21364,5.1546,5.6701,115
129,4.2101E+11,52800,15.4574,17619,5.8296,0,126
130,4.2101E+11,47500,22.108,24250,16.2455,4.3321,148
131,4.2101E+11,63600,8.6614,35125,13.0208,0,86
132,4.2101E+11,65800,19.1646,37639,7.2874,0,152
133,4.2101E+11,67800,39.7174,28125,8.8517,2.3923,60
134,4.2101E+11,69800,38.3268,30850,6.25,9.6875,48
135,4.2101E+11,57200,18.2796,27736,6.7568,2.7027,184
136,4.2101E+11,23600,10.6115,17125,16.5116,9.3023,528
137,4.2101E+11,38900,5.6582,29500,18.4746,11.8644,579
138,4.2101E+11,46300,13.8843,19688,11.5625,3.125,155
139,4.2101E+11,33800,12.26,19327,11.6162,18.9394,459
140,4.2101E+11,35100,6.5854,18750,9.4923,5.5188,588
141,4.2101E+11,41300,1.9342,11750,9.375,5.7292,472
142,4.2101E+11,37800,1.4151,32273,24.2667,6.4,175
143,4.2101E+11,25200,6.9583,15875,19.1257,14.7541,365
144,4.2101E+11,24700,0,17135,32.8244,12.9771,166
145,4.2101E+11,35700,0,18977,12.5,5.6452,199
146,4.2101E+11,36700,9.1623,18125,16.9435,13.9535,270
147,4.2101E+11,28100,4.0984,18750,17.3729,2.1186,428
148,4.2101E+11,30300,8.2148,15341,14.128,3.3113,308
149,4.2101E+11,30600,3.5573,19471,28.0488,10.2439,192
150,4.2101E+11,18300,0,14274,30.8901,0,197
151,4.2101E+11,18000,3.2787,19773,24.2105,4.2105,88
152,4.2101E+11,24000,3.4188,16300,21.4932,13.3484,373
153,4.2101E+11,37500,6.3158,16016,16.9884,10.0386,159
154,4.2101E+11,33800,0,11958,18.8776,0,131
155,4.2101E+11,31400,1.2868,35625,10.1449,12.1739,94
156,4.2101E+11,18800,5.868,24609,16.7883,7.2993,107
157,4.2101E+11,31900,1.9608,17378,17.6781,11.6095,367
158,4.2101E+11,23600,8.8542,33125,10.596,20.5298,81
159,4.2101E+11,10600,24.5614,8516,0,42.8571,17
160,4.2101E+11,18900,0,33224,28.8973,3.8023,50
161,4.2101E+11,16200,0,20893,28.1081,2.973,371
162,4.2101E+11,31500,4.0043,24848,9.8315,3.5112,681
163,4.2101E+11,28800,10.9774,31713,10.3226,12.2581,196
164,4.2101E+11,27800,4.685,19352,8.4158,1.9802,424
165,4.2101E+11,25700,5.1429,20089,5,0,27
166,4.2101E+11,19800,6.0847,32656,14.6179,3.9867,238
167,4.2101E+11,13500,0,29821,28.7879,0,31
168,4.2101E+11,20400,0,19702,21.0191,3.1847,105
169,4.2101E+11,22500,6.9444,24722,25.6098,8.5366,24
170,4.2101E+11,19900,0,23750,11.2745,10.7843,156
171,4.2101E+11,37100,4.7101,19063,31.5574,9.4262,140
172,4.2101E+11,12600,4.158,6822,38.9928,4.3165,374
173,4.2101E+11,55700,1.3008,7183,29.1246,7.7441,607
174,4.2101E+11,41500,0,7301,14.3041,6.3144,1088
175,4.2101E+11,53700,27.3523,43512,1.6949,0,14
176,4.2101E+11,52300,0,36705,3.7383,4.6729,10
177,4.2101E+11,60200,19.8276,31786,3.7736,0,11
178,4.2101E+11,44400,6.2176,22404,13.2841,0,498
179,4.2101E+11,34700,5.4517,27625,5.3476,2.139,297
180,4.2101E+11,36400,1.2048,28046,11.7268,5.2835,529
181,4.2101E+11,34000,7.5359,26071,15.27,6.3315,449
182,4.2101E+11,40100,1.5203,23150,17.0561,3.7383,392
183,4.2101E+11,51700,6.2069,27361,5.1786,1.6071,219
184,4.2101E+11,41600,3.2258,23125,6.0656,8.3607,403
185,4.2101E+11,40700,11.7773,31010,4.9057,3.3962,79
186,4.2101E+11,55600,8.0119,35096,5.2752,5.7339,163
187,4.2101E+11,75300,20.5706,42692,3.5264,7.3048,104
188,4.2101E+11,86700,10.6996,26513,2.9221,5.8442,68
189,4.2101E+11,137500,27.3973,68750,0,0,0
190,4.2101E+11,113400,37.7119,50096,0,0,45
191,4.2101E+11,76400,18.2679,50341,5.3864,6.3232,79
192,4.2101E+11,54900,10.1019,20427,11.0644,7.7031,558
193,4.2101E+11,59400,5.4217,31500,7.2674,3.343,235
194,4.2101E+11,60900,24.5913,31296,5.1282,4.0293,221
195,4.2101E+11,40300,11.9122,18859,9.2086,2.8777,431
196,4.2101E+11,67100,9.5193,33594,8.2119,4.9007,185
197,4.2101E+11,73100,8.8623,36442,5.0209,3.3473,129
198,4.2101E+11,83800,15.8022,54276,6.1602,1.4374,90
199,4.2101E+11,83400,7.9292,36201,4.2627,4.3779,197
200,4.2101E+11,59600,15.304,25104,11.1298,9.4435,230
201,4.2101E+11,53100,9.2968,26184,7.5125,0,185
202,4.2101E+11,65500,4.4,25000,5.5866,10.8939,95
203,4.2101E+11,64200,10.6928,29405,13.4216,7.3724,131
204,4.2101E+11,58700,9.9899,37786,4.8387,2.4194,148
205,4.2101E+11,69200,4.2591,26000,5.6213,4.8817,147
206,4.2101E+11,67500,11.7105,27404,7.8212,6.1453,172
207,4.2101E+11,63000,13.3504,29219,3.4908,2.0534,51
208,4.2101E+11,20300,3.7081,13397,23.8245,12.5392,663
209,4.2101E+11,20800,6.6474,20638,20.3252,10.7724,507
210,4.2101E+11,40600,7.3059,27025,10.7988,7.3964,412
211,4.2101E+11,44900,2.4,20286,19.1265,2.1084,470
212,4.2101E+11,26800,4.3165,20504,15.3186,11.5196,894
213,4.2101E+11,42200,4.5564,23800,12.167,8.0817,909
214,4.2101E+11,54200,1.061,23826,3.2751,0,129
215,4.2101E+11,53800,3.0075,25893,9.5159,7.1786,362
216,4.2101E+11,57500,3.5363,38403,0,0,25
217,4.2101E+11,61600,9.1904,30565,9.7633,0,65
218,4.2101E+11,52900,8.6124,32240,10.2535,7.6037,584
219,4.2101E+11,63100,5.3704,31786,13.3663,7.797,333
220,4.2101E+11,58200,12.7193,36087,9.1379,1.5517,186
221,4.2101E+11,52600,3.7946,36346,8.5586,3.6036,295
222,4.2101E+11,49100,1.2061,31453,9.1912,1.4706,148
223,4.2101E+11,60200,10.6419,35104,2.7933,1.676,178
224,4.2101E+11,48200,0,35114,14.7368,45.2632,40
225,4.2101E+11,52100,4.6693,26607,7.1633,5.7307,200
226,4.2101E+11,69200,10.7558,37206,7.8261,3.4783,29
227,4.2101E+11,72100,6.6372,45197,2.5126,1.7588,108
228,4.2101E+11,109500,9.1324,36042,7.2464,9.4203,13
229,4.2101E+11,85200,9.8976,28229,3.2641,10.6825,63
230,4.2101E+11,80700,3.9526,33350,0.627,9.7179,51
231,4.2101E+11,122700,16.5039,45500,1.0791,2.518,44
232,4.2101E+11,136600,18.1087,43029,49.0122,2.54,163
233,4.2101E+11,132900,15.5294,30455,2.6087,0,35
234,4.2101E+11,17500,26.7699,28417,27.9762,0,87
235,4.2101E+11,98300,27.1777,40577,17.6552,12.6897,46
236,4.2101E+11,75200,20.4242,46250,3.1016,1.6043,117
237,4.2101E+11,69800,7.7922,40787,6.1176,23.7647,131
238,4.2101E+11,83700,21.317,31944,6.2016,4.2636,405
239,4.2101E+11,81700,3.9474,25781,0,7.4074,25
240,4.2101E+11,81100,16.0377,28352,0,0,95
241,4.2101E+11,68100,7.6677,13750,0,6.015,466
242,4.2101E+11,59200,7.5552,30793,4.0354,4.9213,346
243,4.2101E+11,43900,6.5041,42917,6.7669,4.8872,62
244,4.2101E+11,47200,18.8953,22500,10.0806,4.4355,144
245,4.2101E+11,42600,19.3333,24844,16.1137,5.2133,183
246,4.2101E+11,40200,1.8595,25930,9.8639,6.4626,198
247,4.2101E+11,96100,13.4041,38472,3.1301,1.318,96
248,4.2101E+11,61000,6.5217,34338,3.9241,6.2025,275
249,4.2101E+11,50300,3.794,32284,3.6946,6.8966,190
250,4.2101E+11,45500,9.2593,30096,7.989,6.3361,137
251,4.2101E+11,44800,8.7398,35278,8.7719,4.0936,219
252,4.2101E+11,44100,10.8384,28819,7.0796,0,150
253,4.2101E+11,45700,7.7951,28889,10.5556,5,194
254,4.2101E+11,37100,1.3793,12750,9.4059,9.4059,352
255,4.2101E+11,36700,4.0476,20625,14.1935,4.8387,242
256,4.2101E+11,36000,3.2787,23313,12.1495,2.8037,348
257,4.2101E+11,35700,7.907,33824,12,18.3333,302
258,4.2101E+11,46800,3.0303,24306,27.3196,7.732,462
259,4.2101E+11,32500,10.929,12266,14.486,11.215,202
260,4.2101E+11,38600,5.137,19118,23.3503,17.2589,143
261,4.2101E+11,36900,14.0523,29219,14.4737,5.9211,518
262,4.2101E+11,37400,10.231,32708,10,20.5,93
263,4.2101E+11,32900,4.0201,15568,12.9032,3.2258,142
264,4.2101E+11,38500,5.2,24722,14.7541,6.5574,122
265,4.2101E+11,40900,4.902,24306,3.5242,13.6564,141
266,4.2101E+11,49700,11.592,30378,9.0909,1.5521,188
267,4.2101E+11,28900,4.2553,31750,18.5039,15.3543,145
268,4.2101E+11,28900,6.0847,16688,15.7191,6.0201,287
269,4.2101E+11,43800,11.7002,24609,15.9494,6.0759,266
270,4.2101E+11,38200,5.9184,29659,16.0714,0,382
271,4.2101E+11,38000,7.3477,35069,24.7475,6.0606,160
272,4.2101E+11,43900,7.4074,43750,26.2673,19.8157,53
273,4.2101E+11,44900,15.1822,26250,8.8068,2.5568,77
274,4.2101E+11,34500,1.1958,8184,6.3966,13.4328,446
275,4.2101E+11,28100,7.2626,33500,33.6601,4.5752,216
276,4.2101E+11,38500,0,23813,12.7854,6.3927,214
277,4.2101E+11,38800,0,31250,11.9792,8.3333,159
278,4.2101E+11,32900,1.3308,21250,17.6039,10.7579,504
279,4.2101E+11,44800,0,30625,7.9585,2.0761,257
280,4.2101E+11,56000,12.2661,29464,3.0612,0,117
281,4.2101E+11,39700,9.0226,30048,12.8205,13.1054,176
282,4.2101E+11,32600,5.4502,23879,10.8992,0,345
283,4.2101E+11,43000,6.5663,16373,10,3.6667,580
284,4.2101E+11,39500,5.0209,17330,10.9244,0,410
285,4.2101E+11,33700,8.7289,28902,11.7486,3.8251,179
286,4.2101E+11,36900,2.0101,24605,17.2414,8.2759,33
287,4.2101E+11,36300,1.4644,35739,13.3956,4.6729,185
288,4.2101E+11,36600,1.6867,20298,0,2.0408,250
289,4.2101E+11,29100,5.2133,24875,16.0804,0,388
290,4.2101E+11,19300,0,21250,22.4066,2.9046,181
291,4.2101E+11,35100,5.045,16354,26.1538,5.7143,464
292,4.2101E+11,29900,0,27639,17.8082,1.3699,96
293,4.2101E+11,30500,3.3175,28250,16.3743,8.1871,145
294,4.2101E+11,25000,3.6782,18304,6.0606,6.3973,261
295,4.2101E+11,41100,3.1558,19333,13.2867,6.2937,227
296,4.2101E+11,34800,2.7311,31500,16.9951,0,388
297,4.2101E+11,36100,0,23750,21.9697,11.8687,162
298,4.2101E+11,33200,10.0225,36384,11.3636,8.4711,281
299,4.2101E+11,41900,1.5444,26719,15,3.6111,263
300,4.2101E+11,40300,2.381,16310,16.0494,3.7037,368
301,4.2101E+11,34700,9.2308,29472,15.9184,9.3878,153
302,4.2101E+11,39300,13.1455,28309,7,14.5,344
303,4.2101E+11,41600,16.0164,28375,15.2542,4.8023,119
304,4.2101E+11,42500,6.7797,44183,9.8101,2.8481,41
305,4.2101E+11,37800,9.0909,27232,13.2159,11.4537,110
306,4.2101E+11,40200,2.657,20648,25.8555,2.6616,247
307,4.2101E+11,49900,7.2351,26750,10.1695,2.5424,182
308,4.2101E+11,34600,10.8626,25417,12.2302,11.5108,388
309,4.2101E+11,45700,6.5678,23382,14.0127,10.1911,193
310,4.2101E+11,41300,7.483,30625,19.0058,7.3099,178
311,4.2101E+11,41500,15.7801,30875,25.0729,3.4985,141
312,4.2101E+11,31400,9.0164,22386,0,15.7534,112
313,4.2101E+11,40700,2.2082,25417,30.1255,0,257
314,4.2101E+11,35100,5.2632,9375,16.8919,4.0541,279
315,4.2101E+11,28200,8.2687,27083,27.5325,2.0779,320
316,4.2101E+11,29500,37.551,21591,20.8738,5.3398,85
317,4.2101E+11,37500,0,46250,63.2184,0,0
318,4.2101E+11,36500,0,9327,28.6765,8.0882,72
319,4.2101E+11,29200,2.6804,16548,3.3613,2.9412,239
320,4.2101E+11,27300,10.3604,20924,18.6047,6.4599,311
321,4.2101E+11,29800,5.1546,15531,23.569,0,315
322,4.2101E+11,31300,4.77,15950,11.437,5.8651,351
323,4.2101E+11,56900,51.1777,12019,10.1719,0,543
324,4.2101E+11,58800,20.354,17000,16.3866,7.563,216
325,4.2101E+11,95900,36.5462,29808,14.7992,1.2685,135
326,4.2101E+11,131300,26.9767,20400,0,3.5191,152
327,4.2101E+11,80100,17.2061,33563,20.0483,9.9034,128
328,4.2101E+11,122700,66.9983,39028,15.7371,4.9801,115
329,4.2101E+11,106600,33.3747,26181,10.275,1.3025,222
330,4.2101E+11,98600,45.4653,29013,3.2258,0.9677,252
331,4.2101E+11,110800,55.6541,52250,12.61,2.4927,176
332,4.2101E+11,105400,28.4468,35781,15.4762,0.9921,218
333,4.2101E+11,84700,15.3141,27984,9.8976,5.2901,94
334,4.2101E+11,61700,13.1579,30179,21.8284,8.7687,309
335,4.2101E+11,49400,16.643,30662,19.3548,5.8824,213
336,4.2101E+11,47200,4.9618,30547,8.6957,7.6923,157
337,4.2101E+11,38800,10.1099,25556,17.7994,8.4142,182
338,4.2101E+11,38200,1.4205,14931,10.6996,12.3457,224
339,4.2101E+11,35700,6.814,19482,10.1266,4.8101,177
340,4.2101E+11,38800,6.2741,25052,7.8767,8.2192,473
341,4.2101E+11,36400,2.1978,22262,7.2261,2.0979,450
342,4.2101E+11,37300,8.0158,26339,1.1136,3.3408,252
343,4.2101E+11,36000,3.8265,32150,11.9048,5.7823,63
